Exiled Wolves Bone Yard,46267464,0,864,356,217
SolBricks,45850640,104206,184,1,1
Crypto Coves,44495962,0,"3,974",492,298
Magic Mushies,44495962,0,486,2,0
MOBOX Collectible MOMOs,44030051,59650,346,"25,000","1,063"
Mintin,44079138,521030,242,2,1
Mutant Doodle Apes,43766520,0,"2,147","1,017",590
KAKA Gaming Hybrid Cards,43687660,2386,"1,505","31,320","4,546"
SSR ranked Avatar Skin NFTs Airdrop,43686467,243372,32,174,97
THE ONES,42724460,0,746,280,188
Nude and beautiful 1,42099224,104206,269,26,10
Kurama Foxes,42099224,521030,512,2,2
Soufflesong Spooky LOLITA,41966161,1193,"1,488","15,200","3,693"
Candy Cane,41369782,0,218,0,0
All Stars Mystery Box Series 1,40022764,2386,"1,597","41,734","8,261"
SOLhouse,40119310,0,154,0,0
Unirexcity,40015104,104206,152,29,24
Aurory | Specials,39910898,0,466,"1,904",62
Popsicle,39806692,0,"3,199","1,477",661
Stranded Unicorns,39598280,0,718,67,52
SolaJump NFT Game,39285662,104206,272,53,42
bright celebrities,39181456,0,869,288,69
12 Days of Christmas,39096996,5965,"2,501","8,300","4,916"
Fluxers OG,38556220,15630900,76,7,6
Mario Chalmers Iconic Moments,37321812,155090,74,"1,850",44
Tattooed Kitty Gang,37071282,292285,140,666,2
skulls.wtf #SWTF,36784718,0,"1,118",570,306
Scoogis,36576306,208412,200,78,42
BattleHero - Avatar Collection,36422290,70387,161,"1,000",81
Binance 4th anniversary X Orlinski,36396044,8351,"1,223","61,004","6,645"
Ultron Apes,36263688,0,168,0,0
Crypto Captains,36159482,0,"3,212",426,274
Mazinger Z Mystery Box,35280589,1193,"3,078","22,200","7,459"
Aurory,35221628,3647210,8,2,2
Crypto Worms,34179568,0,227,119,46
Cyber Pharmacy,33866950,104206,215,33,25
Melos.Studio X Trey Songz,33456492,1193,"1,108","50,000","6,590"
XDOGE Moon Treasure,33228629,20281,662,"5,040","1,052"
Nekoverse Lost Chest,33137508,0,"1,973",158,78
Monke Babies,32303860,0,490,68,31
The Lion Cats,31678624,0,130,0,0
Lift-off Pass,31678624,416824,64,93,1
Astral Baby Ape Club,31470212,0,399,187,81
Tracy McGrady x Arche Network,31334145,2386,"1,503","35,130","6,935"
MetaLand,31261800,0,230,11,5
Baffled Bears,31261800,0,694,770,108
The Exiled Apes,30844976,0,6,0,0
Sleepless SOLs,30636564,0,430,13,13
BitFreaks,30532358,0,130,0,0
SSJs,29802916,416824,42,4,2
The AP Unique Moments Collection,29643664,5965,738,"24,000","3,189"
Super Monkey Returns,29576856,11930,923,"50,000","3,298"
Ghostface,29490298,0,254,0,0
SolSlugs,29073474,0,"1,291",126,87
Andi Brehme FANZONE Collection,28177467,118107,227,806,29
Groovy Afterlife,27823002,0,192,84,24
Art by Keen,27823002,104206,90,60,25
Solana Flip,27614590,0,86,10,6
CyberDobermanKennel,27563072,130037,125,908,494
Dirtypanda,27301972,0,503,117,74
